artifact_schema_version,artifact_generation_task_id,source_task_id,source_sample_id,source_row_reference,case_label,proxy_metric_id,proof_class,proxy_value,proxy_units,future_label_value,future_label_output_only,no_action_fields_pass,source_allowlist_pass,execution_gap_preserved,overclaim_reject_check_pass
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=418:future_row_index=421:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=418:future_row_index=421:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=418:future_row_index=421:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=418:future_row_index=421:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,-60,ticks_output_label_only,-60,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_medium|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=419:future_row_index=422:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,90,ticks_output_label_only,90,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_large|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=426:future_row_index=428:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,60,ticks_output_label_only,60,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_medium|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=429:future_row_index=431:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,60,ticks_output_label_only,60,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_large|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=430:future_row_index=432:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,0,ticks_output_label_only,0,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_large|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,spread_capture_fee_rebate_proxy,proxy_available_with_strict_caveat,7.5000,ticks_hypothetical,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=431:future_row_index=433:horizon_ms=1000,basis_positive_clean_context,touch_proximity_opportunity_proxy,proxy_available_with_strict_caveat,wide_spread_waiting_opportunity_proxy,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=432:future_row_index=434:horizon_ms=1000,basis_positive_clean_context,adverse_move_after_hypothetical_passive_quote,proxy_available_from_public_observation_rows,70,ticks_output_label_only,70,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=432:future_row_index=434:horizon_ms=1000,basis_positive_clean_context,clean_context_stability_summary,proxy_available_from_public_observation_rows,basis_positive_large|hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small|visible_movement_zero,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=432:future_row_index=434:horizon_ms=1000,basis_positive_clean_context,public_book_post_only_feasibility_proxy,proxy_available_with_strict_caveat,public_book_feasible_proxy_aligned_or_neutral,category,,True,True,True,True,True
basis_positive_maker_viability_proxy_v1,0609T010,0609T008,cross_exchange_public_sample_xemm_0603_quiet_a_event,cross_exchange_public_sample_xemm_0603_quiet_a_event:source_row_index=432:future_row_index=434:horizon_ms=1000,basis_positive_clean_context,queue_priority_public_depth_proxy,proxy_available_with_strict_caveat,public_depth_diagnostic_fresh_no_queue_proof,category,,True,True,True,True,True
